UniqueID;Relative.Adult.Mobility;Estimated.Max.Body.Size;Gregariousness;Foundation.Species;Habitat.Complexity;Abundance;Chemosynthesis.Obligate;Position.of.Symbiont;Min.Depth.Range.Lower.Bound;Min.Depth.Range.Upper.Bound;Max.Depth.Range.Lower.Bound;Max.Depth.Range.Upper.Bound;Substratum;Zonation.From.Vent;Nutritional.Source;Trophic.Mode
Cla164;1;1000;Always;NA;Open bush forming;High;Vent;None;2000;2500;2500;3000;Hard;Low;Water column;Carnivore O
Cla165;1;10;Always;No;Does not add;Low;No;NA;0;500;2500;3000;Hard;Medium;Water column;NA
Cly166;3;10;Sometimes;No;Does not add;Low;Vent;None;1500;2000;2000;2500;Hard;Medium;Sediment or rock surface;Detritivore
Cly167;3;10;NA;No;Does not add;NA;Vent;NA;2000;2500;2500;3000;Hard;Low;Fauna;Bacterivore
Coe168;4;1000;Never;No;Does not add;Low;No;NA;0;500;2000;2500;Water column;Low;Fauna;Carnivore O
Col169;3;1;NA;No;NA;NA;Vent;None;NA;NA;NA;NA;NA;NA;NA;NA
Con170;2;1000;Sometimes;Yes;Burrow forming;High;Other CBE;Endosymbiont;0;500;1500;2000;Soft;Low;Symbiont;Bacterivore
Cop171;3;10;Never;No;Does not add;Low;Vent;None;1500;2000;1500;2000;Hard;Low;Sediment or rock surface;Detritivore
Cop172;3;10;Never;No;Does not add;Low;Vent;None;3000;3500;4000;4500;Hard;Low;Sediment or rock surface;Detritivore
Cop173;3;1;NA;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;High;Fauna;Carnivore O
Cor174;2;1;Never;No;Does not add;Low;Vent;None;1500;2000;1500;2000;Hard;Low;Sediment or rock surface;Detritivore
Cor175;4;1000;Never;No;Does not add;Low;No;None;0;500;5001;NA;Water column;Low;Fauna;Carnivore O
Cte176;3;10;Never;No;Does not add;Low;Vent;Endosymbiont;2000;2500;2500;3000;Hard;High;Sediment or rock surface;Bacterivore
Cya177;1;100;NA;No;NA;NA;No;None;2000;2500;2500;3000;Hard;Low;Fauna;NA
Cya178;2;10;Sometimes;No;Does not add;High;Vent;None;2500;3000;2500;3000;Hard;Medium;Fauna;Carnivore O
Cya179;3;10;Sometimes;No;Does not add;High;Vent;Episymbiont;1500;2000;2500;3000;Hard;High;Fauna;Bacterivore
Cyc180;4;100;Never;No;Does not add;Low;No;None;0;500;2000;2500;Water column;Low;Fauna;Carnivore S
Dah181;4;10;NA;No;Does not add;NA;Vent;NA;2000;2500;2500;3000;NA;NA;Water column;NA
Den182;3;100;Never;No;Does not add;Low;No;None;1500;2000;1500;2000;Hard;Low;Fauna;Carnivore O
Dep183;3;10;Sometimes;No;Does not add;High;Vent;None;1500;2000;2000;2500;Hard;High;Sediment or rock surface;Detritivore
Des184;3;10;Sometimes;No;Does not add;Low;Vent;None;1500;2000;1500;2000;Hard;NA;Sediment or rock surface;Detritivore
Des185;3;10;Sometimes;No;Does not add;Low;Vent;None;1500;2000;3500;4000;Hard;Low;Sediment or rock surface;Detritivore
Des186;3;100;Sometimes;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Low;Sediment or rock surface;Detritivore
Des187;3;10;NA;NA;Does not add;NA;Vent;NA;1500;2000;1500;2000;NA;NA;Sediment or rock surface;Detritivore
Des188;3;10;NA;NA;Does not add;NA;Vent;NA;1500;2000;2500;3000;NA;NA;Sediment or rock surface;Detritivore
Dul189;1;10;Always;No;Does not add;Low;No;None;3500;4000;3500;4000;Hard;Low;Sediment or rock surface;Detritivore
Ecb190;4;1;NA;No;Does not add;NA;Vent;None;2000;2500;2500;3000;Hard;High;Sediment or rock surface;NA
Ech191;3;100;Never;No;Does not add;NA;Vent;NA;2500;3000;2500;3000;Hard;Medium;Sediment or rock surface;NA
Eoc192;1;100;Always;No;Does not add;High;Vent;None;1000;1500;2000;2500;Hard;Medium;Water column;Detritivore
Eoc193;1;10;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;Water column;NA
Eoc194;1;10;Always;No;Mat forming;Low;Vent;None;2500;3000;2500;3000;Hard;Medium;Water column;NA
Eos195;3;100;NA;NA;NA;NA;Vent;None;NA;NA;NA;NA;NA;NA;Fauna;Carnivore O
Epi196;4;1000;Never;No;Does not add;Low;No;NA;0;500;1000;1500;Water column;Low;Fauna;Carnivore O
Ere197;3;1;NA;NA;NA;NA;Vent;NA;2000;2500;2000;2500;NA;NA;Water column;NA
Esc198;1;1000;Sometimes;Yes;Open bush forming;High;Other CBE;Endosymbiont;1000;1500;2000;2500;Soft;Medium;Symbiont;Bacterivore
Etm199;4;100;Never;No;Does not add;Low;No;None;0;500;2000;2500;Water column;Low;Fauna;Carnivore O
Etm200;4;100;Never;No;Does not add;Low;No;None;0;500;500;1000;Water column;Low;Fauna;Carnivore O
Euc201;1;100;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;Fauna;NA
Eul202;3;10;Never;No;Does not add;NA;Vent;None;2500;3000;2500;3000;Hard;Medium;Fauna;Carnivore O
Eul203;3;100;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Eun204;3;100;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;Fauna;Carnivore O
Eun205;3;100;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;Fauna;Carnivore O
Eun206;3;100;Never;No;Does not add;NA;Vent;None;2500;3000;2500;3000;Hard;High;Fauna;Carnivore O
Eup207;4;10;Never;No;Does not add;Low;Vent;None;1500;2000;2000;2500;Hard;Medium;Sediment or rock surface;Detritivore
Exa208;3;1;NA;NA;NA;High;Vent;None;NA;NA;NA;NA;Soft;NA;Sediment or rock surface;Bacterivore
Exi209;3;100;Always;No;Does not add;High;Vent;Episymbiont;2000;2500;2000;2500;Hard;High;Symbiont;Bacterivore
Exr210;4;10;Sometimes;No;Does not add;High;Vent;None;2500;3000;2500;3000;NA;NA;Sediment or rock surface;Bacterivore
Exr211;4;10;Sometimes;No;Does not add;High;Vent;None;2500;3000;2500;3000;NA;NA;Sediment or rock surface;Bacterivore
Fis212;4;10;Sometimes;No;Does not add;NA;Vent;NA;2500;3000;2500;3000;NA;NA;Sediment or rock surface;Bacterivore
Fre213;3;1000;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;Low;Fauna;NA
Fre214;3;1000;NA;No;NA;NA;No;None;NA;NA;NA;NA;Hard;Low;NA;NA
Fuc215;3;10;Never;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Low;Sediment or rock surface;Detritivore
Gai216;3;1000;Never;No;Does not add;Low;Vent;None;0;500;1500;2000;Hard;Medium;Fauna;Carnivore O
