Genus_species_name;Cell length um;Cell width um;Cell thickness um;Geometrical shape of the cell;Cell surface area um_;Cell biovolume um3;Number of cells per colony;Colony thickness (takes into account mucilage) um;Geometrical shape of the colony;Mobility apparatus;Mobility apparatus: Flagella;Mobility apparatus: Raphe;Colonial;Filament;Heterotrophic;Mixotrophic;Autotrophic
Centritractus_belenophorus;28;11.5;5;tube;1050.33;2906.855;1;NA;NA;1;1;0;1;0;0;0;1
Ceratium_hirundinella;60;50;25;ell;22681.9199538445;39250;1;NA;NA;1;1;0;0;0;0;1;0
cf_Mantellum_sp.;4;4;4;ell;166.375913544823;33.4933333333333;1;NA;NA;0;0;0;1;0;0;0;1
cf._Katodinium_fongiforme;10;7;5;ell;855.696143011939;128.216666666667;1;NA;NA;1;1;0;0;0;0;1;0
Characiaceae_sp.;30;3;3;ell;1099.65946190586;113.04;1;NA;NA;0;0;0;0;0;0;0;1
Characium_sp.;32;2.7;2.7;ell;1055.39390496111;97.66656;1;NA;NA;0;0;0;0;0;0;0;1
Chlamydocapsa_sp.;10;10;10;ell;#DIV/0!;523.333333333333;4;50;trel;1;1;0;0;0;0;0;1
Chlamydomonadaceae_sp.;10;8;5;ell;653.804864066104;209.333333333333;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_cf_botryospora;7;7;7;ell;490.831814580554;179.503333333333;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_conica;19;13;13;ell;2421.36438910315;1680.42333333333;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_conica_var._subconica;13;9;9;ell;1152.29234299843;551.07;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_globosa;6;6;6;ell;363.288039243813;113.04;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_gloeopara;9;6;6;trel;536.140696186776;169.56;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_gloeophila_var._irregularis;8;8;8;ell;637.801284913898;267.946666666667;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_intermedia;20;20;20;ell;3919.51621848442;4186.66666666667;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_proboscigera;20;20;20;ell;3919.51621848442;4186.66666666667;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_reinhardtii;16;15;15;ell;2356.88915806596;1884;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_sp.;18;18;18;ell;3177.80151032603;3052.08;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_sp._8_um;8;4;4;trel;318.900642456949;66.9866666666667;1;NA;NA;1;1;0;0;0;0;0;1
Chlamydomonas_zebra;15;15;15;ell;2211.3412553863;1766.25;1;NA;NA;1;1;0;0;0;0;0;1
Chlorella_+_Choricysits;3;2;2;ell;64.6044674972836;6.28;1;NA;NA;0;0;0;0;0;0;0;1
Chlorella_cf_ellipsoidea;7;5.5;5.5;ell;385.653568599006;110.815833333333;1;NA;NA;0;0;0;0;0;0;0;1
Chlorella_vulgaris;2;2;2;ell;46.598803022074;4.18666666666667;1;NA;NA;0;0;0;0;0;0;0;1
Chlorellaceae_sp;5;5;5;sphe;78.5;65.4166666666667;1;NA;NA;0;0;0;0;0;0;0;1
Chlorelloidea_sp.;4.4;2;2;ell;90.7108157886843;9.21066666666667;1;NA;NA;0;0;0;0;0;0;0;1
Chlorhormidium_sp.;9;7;7;tube;274.75;346.185;11.11;7;tube;0;0;0;1;1;0;0;1
Chlorhormidium_subtile;9;7;7;tube;274.75;346.185;11.11;7;tube;0;0;0;1;1;0;0;1
Chlorococcales_sp.;1.5;1.5;1.5;sphe;7.065;1.76625;1;NA;NA;0;0;0;1;0;0;0;1
Chlorolobion_saxatile;9.5;9.5;4;ell;667.162890022618;188.923333333333;1;NA;NA;0;0;0;1;0;0;0;1
Chlorophyceae_indetermined_big;40;1.2;1.2;ell;468.721383562889;30.144;1;NA;NA;0;0;0;0;0;0;0;1
Chlorophyceae_indetermined_small;8;8;8;ell;637.801284913898;267.946666666667;1;NA;NA;0;0;0;0;0;0;0;1
Chlorophyceae_small_colony;2;2;2;ell;46.598803022074;4.18666666666667;8;4;trel;0;0;0;0;0;0;0;1
Chlorophyceae_sp.;28;5.5;5.5;ell;1505.78510782607;443.263333333333;1;NA;NA;0;0;0;0;0;0;0;1
Chlorophyceae_sp._filaments;13;13;13;ell;1664.42227321995;1149.76333333333;8.8;13;tube;0;0;0;1;1;0;0;1
Chlorophyceae_spp.;10;5;5;ell;495.035675064131;130.833333333333;1;NA;NA;0;0;0;0;0;0;0;1
Choricystis_cf_chodatii;7.5;3;3;ell;224.754919305775;35.325;1;NA;NA;0;0;0;0;0;0;0;1
Choricystis_cf_minor;3;2;2;ell;64.6044674972836;6.28;1;NA;NA;0;0;0;0;0;0;0;1
Choricystis_minor;3;2;2;ell;64.6044674972836;6.28;1;NA;NA;0;0;0;0;0;0;0;1
Chromulina_cf_erkensis;13;13;4;ell;1178.84569435403;353.773333333333;1;NA;NA;1;1;0;0;0;0;1;0
Chrooccocus_distans_(4_cells);6.2;6.2;6.2;sphe;120.7016;124.724986666667;4;30;box;0;0;0;1;0;0;0;1
Chroococcus_limneticus;12;12;12;sphe;452.16;904.32;4;30;box;0;0;0;1;0;0;0;1
Chroococcus_microscopicus;1;1;1;ell;15.034062444858;0.523333333333333;120;20;box;0;0;0;1;0;0;0;1
Chroococcus_minimus;2;2;2;sphe;46.598803022074;4.18666666666667;4;6;box;0;0;0;1;0;0;0;1
Chroococcus_minimus_colony_50_um;2;2;2;sphe;46.598803022074;4.18666666666667;150;50;ell;0;0;0;1;0;0;0;1
Chroococcus_minutus;7.5;7.5;7.5;ell;561.887298264438;220.78125;2;25;box;0;0;0;1;0;0;0;1
Chroococcus_obliteratus;4.5;4.5;4.5;ell;208.344037844419;47.68875;4;5;box;0;0;0;1;0;0;0;1
Chroococcus_prescottii;6.5;6.5;6.5;sphe;132.665;143.720416666667;4;18;box;0;0;0;1;0;0;0;1
Chroococcus_sp.;10;8;8;ell;792.057080102608;334.933333333333;16;32;box;0;0;0;1;0;0;0;1
Chroococcus_turgidus_(4_cells);20;20;20;sphe;1256;4186.66666666667;4;60;box;0;0;0;1;0;0;0;1
Chroococcus_turgidus_(8_cells);19;15;15;ell;2793.88198742671;2237.25;8;60;box;0;0;0;1;0;0;0;1
Chroococcus_varius;3;3;3;sphe;28.26;14.13;140;35;trel;0;0;0;1;0;0;0;1
Chroomonas_cf_coerulea;7;6;5;trel;386.609393616524;109.9;1;NA;NA;1;1;0;0;0;0;1;0
Chroomonas_sp.;13;13;9;ell;1422.30484776933;795.99;1;NA;NA;1;1;0;0;0;0;1;0
Chrysastrella_furcata;10;10;10;ell;990.071350128261;523.333333333333;1;NA;NA;1;1;0;0;0;0;1;0
Chrysococcus_minutus;8;8;8;ell;708.668094348776;241.152;1;NA;NA;1;1;0;0;0;0;1;0
Chrysococcus_sp.;12;12;12;ell;1420.17188531361;904.32;1;NA;NA;1;1;0;0;0;0;1;0
Chrysolykos_angulatum;20;10;10;ell;2799.65444177459;732.666666666667;1;NA;NA;1;1;0;0;0;0;1;0
Chrysolykos_gracilis;24;14;2;ell;3129.74535016579;246.176;1;NA;NA;1;1;0;0;0;0;1;0
Chrysolykos_planctonicus;17;7;7;ell;1297.59318472337;392.343;1;NA;NA;1;1;0;0;0;0;1;0
Chrysolykos_skujai;20;4;4;ell;1119.86177670984;117.226666666667;1;NA;NA;1;1;0;0;0;0;1;0
Cladomonas_fruticulosa;8.5;8.5;8.5;ell;718.575409063727;321.392083333333;1;NA;NA;0;0;0;1;0;0;1;0
Closteriopsis_longissima;215;5;3;doco;8541.38105767618;843.875;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_acerosum;540;40;40;tube;70336;678240;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_aciculare;500;5;5;tube;7902.33333333333;7359.375;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_acutum;115;5;5;doco;5607.0878192437;752.291666666667;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_acutum_var._latius;140;9;9;tube;4138.07142857143;6231.33;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_acutum_var._linea;100;3.5;3.5;tube;1124.64333333333;721.21875;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_acutum_var._variabile;130;3.5;3.5;tube;1454.34333333333;937.584375;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_cf._lanceolatum_var._parvum;162;28.5;10;doco;32493.733780462;12081.15;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_cornu;125;5;5;tube;2011.5625;1962.5;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_dianae;255;18;18;tube;15048.45;51885.36;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_ehrenbergii;660;95;95;tube;211047.25;4675852.5;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_gracile;220;5;5;tube;3497.61111111111;3885.75;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_jenneri;35;3;3;tube;349.885714285714;173.0925;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_limneticum;167.5;5.2;5.2;tube;2795.58685714286;2488.7954;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_lineatum;400;23;23;tube;29926.1625;132884.8;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_monoliferum;310;30;30;tube;30615;219015;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_nordstedtii;250;10;10;tube;8046.25;15700;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_parvulum;100;15;15;tube;5004.375;21195;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_pronum;300;7.5;7.5;doco;21935.3540948714;4415.625;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_sp.;175;28;28;tube;16616.88;107702;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_sp1;19.4;5.4;4;tube;356.857511111111;399.669876;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_strigosum;250;14;5;doco;24699.8700679758;4579.16666666667;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_striolatum;380;35;35;tube;43898.9444444444;328875.75;1;NA;NA;0;0;0;0;0;0;0;1
Closterium_venus_var._westii;67;9.5;9.5;doco;6209.48899716983;1582.23291666667;1;NA;NA;0;0;0;0;0;0;0;1
Coccomonas_platyformis;18;15;7;ell;2018.61854052772;989.1;1;NA;NA;1;1;0;0;0;0;0;1
Coccomyxa_littoralis;7;3;3;ell;210.356491963094;32.97;1;NA;NA;0;0;0;0;0;0;0;1
Cocconeis_pediculus;22;10;4.5;box;910;742.5;1;NA;NA;1;0;1;0;0;0;1;0
Cocconeis_placentula;35;25;7;box;3237.5;4593.75;1;NA;NA;1;0;1;0;0;0;1;0
Cocconeis_placentula_var._euglypta;29;16;4;box;1610;1484.8;1;NA;NA;1;0;1;0;0;0;1;0
Cocconeis_sp.;22;10;4.5;box;910;742.5;1;NA;NA;1;0;1;0;0;0;1;0
Codosiga_botrytis;17;17;17;ell;2836.16796089536;2571.13666666667;1;NA;NA;0;0;0;0;0;1;0;0
Codosiga_sp.;13;13;13;ell;1664.42227321995;1149.76333333333;1;NA;NA;0;0;0;0;0;1;0;0
