Genus_Species;Genus;Species;comname;sciname;Anaerobic;Browsable;Calcerous;Coarse_Soil;Cold_Strat_Reqd;Fine_Soil;Fire_Tolerance;FrostFree_Days;Grazable;Height20yrs;HeightMax;max_pH;max_Precip;MediumSoil;min_pH;min_Precip;min_Temp;NitrFix;growthHabit;
Limnobium_spongia;Limnobium;spongia;American spongeplant;Limnobium spongia (Bosc) L.C. Rich. ex Steud.;3;NA;2;0;0;1;0;180;NA;NA;0.152401853206535;5.9;152.4;1;5;88.9;-31.1111111111111;0;Forb/herb;
Limonium_carolinianum;Limonium;carolinianum;Carolina sealavender;Limonium carolinianum (Walt.) Britt.;2;NA;1;1;0;1;0;180;2;NA;0.60960741282614;8.5;139.7;1;6;101.6;-22.2222222222222;0;Forb/herb;
Lindera_benzoin;Lindera;benzoin;northern spicebush;Lindera benzoin (L.) Blume;2;2;2;0;1;1;NA;120;1;3.65764447695684;3.65764447695684;6;127;1;4.5;81.28;-30.5555555555556;0;Tree;
Linum_lewisii;Linum;lewisii;Lewis flax;Linum lewisii Pursh;0;1;3;1;0;0;1;90;3;NA;0.60960741282614;8.4;60.96;1;5.6;25.4;-41.6666666666667;0;Subshrub;
Linum_striatum;Linum;striatum;ridged yellow flax;Linum striatum Walt.;0;2;2;0;0;1;1;100;2;NA;0.792489636673982;8;152.4;1;5;53.34;-41.6666666666667;0;Forb/herb;
Liquidambar_styraciflua;Liquidambar;styraciflua;sweetgum;Liquidambar styraciflua L.;1;2;1;1;1;1;1;180;NA;13.7161667885881;30.480370641307;7;152.4;1;4.5;101.6;-29.4444444444444;0;Tree;
Liriodendron_tulipifera;Liriodendron;tulipifera;tuliptree;Liriodendron tulipifera L.;0;1;1;1;1;0;2;150;NA;15.2401853206535;36.5764447695684;6.5;203.2;1;4.5;76.2;-27.7777777777778;0;Tree;
Liriope_muscari;Liriope;muscari;big blue lilyturf;Liriope muscari (Dcne.) Bailey;0;1;2;1;0;1;3;150;1;NA;0.152401853206535;8;152.4;1;5;66.04;-30.5555555555556;0;Forb/herb;
Listera_convallarioides;Listera;convallarioides;broadlipped twayblade;Listera convallarioides (Sw.) Nutt. ex Ell.;3;NA;1;0;0;1;3;120;NA;NA;0.30480370641307;7.5;152.4;1;4.5;40.64;-38.8888888888889;0;Forb/herb;
Lithocarpus_densiflorus;Lithocarpus;densiflorus;tanoak;Lithocarpus densiflorus (Hook. & Arn.) Rehd.;0;1;0;1;1;0;2;160;NA;9.1441111923921;38.1004633016337;6.5;254;1;4.5;101.6;-13.8888888888889;0;Tree;
Lithospermum_ruderale;Lithospermum;ruderale;western stoneseed;Lithospermum ruderale Dougl. ex Lehm.;0;2;2;0;0;0;1;100;2;NA;0.457205559619605;7.8;45.72;1;6;20.32;-33.3333333333333;0;Forb/herb;
Lobelia_cardinalis;Lobelia;cardinalis;cardinalflower;Lobelia cardinalis L.;1;2;2;0;0;0;1;130;2;NA;1.79834186783711;7.8;152.4;1;5.8;71.12;-36.6666666666667;0;Forb/herb;
Lolium_perenne;Lolium;perenne;perennial ryegrass;Lolium perenne L.;0;1;2;0;0;1;1;110;3;NA;0.701048524750061;7.5;165.1;1;5.2;76.2;-47.2222222222222;0;Graminoid;
Lolium_perenne;Lolium;perenne;Italian ryegrass;Lolium perenne L. ssp. multiflorum (Lam.) Husnot;1;1;2;1;0;1;1;200;3;NA;0.762009266032675;7.9;165.1;1;5;45.72;-11.1111111111111;0;Graminoid;
Lolium_rigidum;Lolium;rigidum;Wimmera ryegrass;Lolium rigidum Gaudin;1;1;2;1;0;1;1;160;2;NA;0.731528895391368;8.5;165.1;1;6;25.4;-11.1111111111111;0;Graminoid;
Lomatium_canbyi;Lomatium;canbyi;Canby's biscuitroot;Lomatium canbyi (Coult. & Rose) Coult. & Rose;0;1;2;1;0;0;2;110;2;NA;0.243842965130456;8.5;40.64;1;6;20.32;-33.3333333333333;0;Forb/herb;
Lomatium_cous;Lomatium;cous;cous biscuitroot;Lomatium cous (S. Wats.) Coult. & Rose;0;2;2;1;0;0;2;105;2;NA;0.243842965130456;8.5;40.64;1;6;20.32;-33.3333333333333;0;Forb/herb;
Lomatium_dissectum;Lomatium;dissectum;fernleaf biscuitroot;Lomatium dissectum (Nutt.) Mathias & Constance;0;3;3;1;1;1;3;240;3;NA;4.57205559619605;7.5;254;1;6.5;35.56;-13.8888888888889;0;Forb/herb;
