SpecName;accGenus;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;Conspicuousness
Calamus calospathus;Calamus;calospathus;Calameae;Calamoideae;2;0;2;1;0;1;10;6.5;canopy;NA;3;2.5;0.55;2.48;NA;NA;2.29;NA;NA;small;ovoid;cryptic
Calamus caryotoides;Calamus;caryotoides;Calameae;Calamoideae;1;0;0;0;0;1;15;2;canopy;NA;0.4;NA;NA;1.5;1;2;1.15;0.8;1.5;small;globose;cryptic
Calamus castaneus;Calamus;castaneus;Calameae;Calamoideae;0;1;0;0;0;1;1.5;20;understorey;NA;5;4.1;0.85;2.5;NA;NA;1.8;NA;NA;small;ovoid;cryptic
Calamus cawa;Calamus;cawa;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;0.8;0.8;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus centralis;Calamus;centralis;Calameae;Calamoideae;1;0;0;0;0;1;20;1;canopy;NA;0.8;0.8;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus ceratophorus;Calamus;ceratophorus;Calameae;Calamoideae;1;0;0;1;0;1;30;3;canopy;NA;1.5;1.25;0.28;1.9;NA;NA;0.8;NA;NA;small;globose;cryptic
Calamus ciliaris;Calamus;ciliaris;Calameae;Calamoideae;1;0;0;2;0;1;25;3;canopy;NA;0.7;0.5;0.22;0.9;NA;NA;0.7;NA;NA;small;NA;cryptic
Calamus cockburnii;Calamus;cockburnii;Calameae;Calamoideae;0;1;0;NA;0;1;0.08;1.5;understorey;NA;0.9;0.9;NA;1;NA;NA;1;NA;NA;small;ovoid;NA
Calamus compsostachys;Calamus;compsostachys;Calameae;Calamoideae;1;0;0;0;0;1;10;1;canopy;NA;0.7;0.7;NA;1;NA;NA;0.8;NA;NA;small;globose;cryptic
Calamus comptus;Calamus;comptus;Calameae;Calamoideae;1;0;0;2;0;1;10;2.7;canopy;NA;0.9;0.9;NA;0.7;NA;NA;0.6;NA;NA;small;ovoid;cryptic
Calamus concinnus;Calamus;concinnus;Calameae;Calamoideae;0;0;1;0;0;1;6;8;canopy;NA;4.3;3.5;NA;0.8;NA;NA;0.8;NA;NA;small;ovoid;cryptic
Calamus congestiflorus;Calamus;congestiflorus;Calameae;Calamoideae;1;0;0;0;0;1;20;5;canopy;NA;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus conirostris;Calamus;conirostris;Calameae;Calamoideae;1;0;0;2;0;1;10;1;canopy;NA;3.64;NA;0.565;3;NA;NA;2;NA;NA;small;ovoid;cryptic
Calamus conjugatus;Calamus;conjugatus;Calameae;Calamoideae;0;1;0;0;0;1;0;NA;understorey;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamus convallium;Calamus;convallium;Calameae;Calamoideae;1;0;0;0;0;1;20;1.5;canopy;NA;1.2;NA;NA;3.12;NA;NA;1.2;1.1;1.3;small;ovoid;cryptic
Calamus corneri;Calamus;corneri;Calameae;Calamoideae;1;0;0;0;0;1;20;0.5;canopy;NA;0.6;0.5;0.14;NA;NA;NA;NA;NA;NA;NA;ovoid;cryptic
Calamus corrugatus;Calamus;corrugatus;Calameae;Calamoideae;1;0;0;0;0;1;15;0.5;canopy;NA;0.35;0.35;NA;1;NA;NA;0.7;NA;NA;small;globose;NA
Calamus crassifolius;Calamus;crassifolius;Calameae;Calamoideae;1;0;0;0;0;1;10;1.8;canopy;NA;0.75;0.7;0.07;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamus crispus;Calamus;crispus;Calameae;Calamoideae;1;0;0;0;0;1;10;1.8;canopy;NA;0.4;0.4;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus cumingianus;Calamus;cumingianus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;0.65;NA;NA;0.57;NA;NA;small;NA;cryptic
Calamus curag;Calamus;curag;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;elongate;NA
Calamus cuthbertsonii;Calamus;cuthbertsonii;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus dasyacanthus;Calamus;dasyacanthus;Calameae;Calamoideae;1;0;0;1;0;1;15;4.5;canopy;NA;5;5;NA;1.09;0.9;1.28;0.95;0.85;1;small;NA;conspicuous
Calamus deerratus;Calamus;deerratus;Calameae;Calamoideae;1;0;0;0;0;1;20;3;canopy;NA;1.75;NA;NA;1.5;NA;NA;1;NA;NA;small;ovoid;conspicuous
Calamus delessertianus;Calamus;delessertianus;Calameae;Calamoideae;1;0;0;1;0;1;40;5;canopy;NA;2;2;NA;1.5;NA;NA;1.5;NA;NA;small;globose;cryptic
Calamus delicatulus;Calamus;delicatulus;Calameae;Calamoideae;1;0;0;0;0;1;10;2;canopy;NA;1;1;NA;1;NA;NA;1;NA;NA;small;ovoid;cryptic
Calamus densiflorus;Calamus;densiflorus;Calameae;Calamoideae;1;0;0;0;0;1;40;4;canopy;NA;2;2;NA;2;NA;NA;1.2;NA;NA;small;ovoid;cryptic
Calamus depauperatus;Calamus;depauperatus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus dianbaiensis;Calamus;dianbaiensis;Calameae;Calamoideae;0;0;1;0;0;1;4;7;understorey;NA;3;3;NA;2;NA;NA;1.5;NA;NA;small;ovoid;cryptic
Calamus didymocarpus;Calamus;didymocarpus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;1.02;NA;NA;0.85;NA;NA;small;globose;cryptic
Calamus diepenhorstii;Calamus;diepenhorstii;Calameae;Calamoideae;1;0;0;0;0;1;20;3.5;canopy;NA;1.8;1.8;NA;2;NA;NA;1.7;NA;NA;small;elongate;cryptic
Calamus digitatus;Calamus;digitatus;Calameae;Calamoideae;1;0;0;0;0;1;5;1;canopy;NA;NA;NA;NA;1;NA;NA;1;NA;NA;small;pyramidal;conspicuous
Calamus dilaceratus;Calamus;dilaceratus;Calameae;Calamoideae;1;0;0;0;0;1;20;4;canopy;NA;2;2;NA;1;NA;NA;0.8;NA;NA;small;NA;conspicuous
Calamus dimorphacanthus;Calamus;dimorphacanthus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;0.6;NA;NA;0.5;NA;NA;small;NA;cryptic
Calamus dioicus;Calamus;dioicus;Calameae;Calamoideae;1;0;0;0;0;1;10;0.4;canopy;NA;0.22;0.22;NA;0.8;NA;NA;0.8;NA;NA;small;NA;cryptic
Calamus discolor;Calamus;discolor;Calameae;Calamoideae;1;0;0;NA;0;1;NA;3.6;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus distentus;Calamus;distentus;Calameae;Calamoideae;1;0;0;1;0;1;8;30;canopy;NA;0.84;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus divaricatus;Calamus;divaricatus;Calameae;Calamoideae;1;0;0;0;0;1;15;7.5;canopy;NA;1;NA;NA;1.5;1.4;1.6;0.9;NA;NA;small;globose;cryptic
Calamus dongnaiensis;Calamus;dongnaiensis;Calameae;Calamoideae;0;0;1;0;0;1;0;NA;understorey;NA;NA;NA;NA;3;NA;NA;1.5;NA;NA;small;globose;cryptic
Calamus dransfieldii;Calamus;dransfieldii;Calameae;Calamoideae;1;0;0;1;0;1;22;3.5;canopy;NA;1.5;1.5;NA;1.8;NA;NA;1.8;NA;NA;small;NA;conspicuous
Calamus egregius;Calamus;egregius;Calameae;Calamoideae;1;0;0;0;0;1;50;5;canopy;NA;1.5;1.5;NA;2;NA;NA;1.6;NA;NA;small;globose;cryptic
Calamus elmerianus;Calamus;elmerianus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus elopurensis;Calamus;elopurensis;Calameae;Calamoideae;1;0;0;0;0;1;7;0.6;canopy;NA;0.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;elongate;NA
Calamus endauensis;Calamus;endauensis;Calameae;Calamoideae;1;0;0;0;0;1;25;0.7;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus epetiolaris;Calamus;epetiolaris;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus equestris;Calamus;equestris;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus erectus;Calamus;erectus;Calameae;Calamoideae;0;0;1;0;0;1;6;5;canopy;NA;3;3;NA;5;NA;NA;2.5;NA;NA;large;NA;cryptic
Calamus erinaceus;Calamus;erinaceus;Calameae;Calamoideae;1;0;0;0;0;1;15;6;canopy;NA;2.5;2.5;NA;1;NA;NA;1;NA;NA;small;ovoid;cryptic
Calamus erioacanthus;Calamus;erioacanthus;Calameae;Calamoideae;1;0;0;NA;0;1;10;1.8;canopy;NA;1.5;1.5;NA;1.7;NA;NA;1.5;NA;NA;small;NA;cryptic
Calamus essigii;Calamus;essigii;Calameae;Calamoideae;1;0;0;0;0;1;8;0.5;canopy;NA;0.29;0.29;NA;0.95;NA;NA;0.9;NA;NA;small;elongate;NA
Calamus evansii;Calamus;evansii;Calameae;Calamoideae;1;0;0;0;0;1;7;1.3;canopy;NA;0.5;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Calamus exilis;Calamus;exilis;Calameae;Calamoideae;1;0;0;2;0;1;15;2.5;canopy;NA;0.7;0.7;NA;1.6;NA;NA;1.2;NA;NA;small;ovoid;cryptic
Calamus eximius;Calamus;eximius;Calameae;Calamoideae;1;0;0;1;0;1;18;35;canopy;NA;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus faberi;Calamus;faberi;Calameae;Calamoideae;1;0;0;0;0;1;15;2;canopy;NA;0.75;0.75;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;cryptic
Calamus farinosus;Calamus;farinosus;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus fertilis;Calamus;fertilis;Calameae;Calamoideae;1;0;0;2;0;1;30;4.5;canopy;NA;2.54;2.2;NA;1.48;1.15;1.8;0.85;0.75;1;small;ovoid;cryptic
