Species Name;Gram;Trait 1;Trait 2;Trait 3;Trait 4;Trait 5;Trait 6;Trait 7;Trait 8;Trait 9;Trait 10;Trait 11;Trait 12;Trait 13;Trait 14;Trait 15;Trait 16;Trait 17;Trait 18;Trait 19;Trait 20;Trait 21;Trait 22;Trait 23;Trait 24;Trait 25;Trait 26;Trait 27;Trait 28;Trait 29;Trait 30;Trait 31;Trait 32;Trait 33;Trait 34;Trait 35;Trait 36;Trait 37;Trait 38;Trait 39;Trait 40;Trait 41;Trait 42;Trait 43;Trait 44;Trait 45;Trait 46;Trait 47;Trait 48;Trait 49;Trait 50;Trait 51;Trait 52;Trait 53;Trait 54;Trait 55;Trait 56;Trait 57;Trait 58;Trait 59;Trait 60;Trait 61;Trait 62;Trait 63;Trait 64;Trait 65;Trait 66;Trait 67;Trait 68;Trait 69;Trait 70;Trait 71;Trait 72;Trait 73;Trait 74;Trait 75;Trait 76;Trait 77;Trait 78;Trait 79;Trait 80;Trait 81;Trait 82;Trait 83;Trait 84;Trait 85;Trait 86;Trait 87;Trait 88;Trait 89;Trait 90;Trait 91;Trait 92;Trait 93;Trait 94;Trait 95;Trait 96
Rhodococcus ruber;GP;0;0;0;63;0;0;6;100;100;0;0;0;0;25;0;10;100;0;0;0;50;0;100;0;0;0;4;13;0;98;2;0;0;0;0;0;10;2;8;100;2;0;15;0;0;0;0;35;0;2;88;0;0;35;81;40;0;0;0;98;21;0;100;0;0;79;29;94;77;2;0;2;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;8;0;0;0;0;0;0;0;0
Rothia dentocariosa;GP;0;0;0;100;0;0;8;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;100;0;0;0;100;100;0;100;54;0;8;0;31;0;0;0;100;58;0;0;0;0;0;0;0;100;0;100;100;0;0;0;100;0;0;0;0;0;0;8;100;0;88;58;88;0;12;0;92;0;0;0;0;0;0;0;0;0;0;0;73;96;0;0;0;0;0;0;0;0;0;0;0;0
Rothia mucilaginosa;GP;0;0;0;100;0;0;88;0;0;0;0;0;0;0;55;8;97;0;0;0;47;0;100;0;10;0;100;100;0;100;87;0;0;0;100;97;97;0;100;97;10;0;5;97;0;8;0;100;0;100;100;0;5;5;100;0;0;0;0;0;0;32;100;0;28;72;3;0;48;0;5;0;18;0;10;0;0;0;0;0;0;7;25;63;0;0;0;0;0;0;0;0;0;0;0;0
Sanguibacter inulinus;GP;0;0;11;100;18;0;93;0;0;11;0;100;96;0;100;100;100;0;100;0;100;79;100;0;0;0;96;96;0;100;0;25;18;11;14;11;89;0;36;100;4;0;100;100;0;14;0;82;0;82;100;0;100;18;0;0;0;0;0;0;0;0;7;0;0;61;39;7;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;100;100;93;0;0;0;0;0;0;0
Sanguibacter keddieii;GP;0;0;72;94;67;0;89;6;0;61;0;67;89;0;100;100;100;0;100;0;94;22;100;0;0;6;94;94;17;100;0;100;89;83;78;78;83;72;89;100;89;44;100;100;0;94;89;89;22;89;100;0;100;83;6;0;0;0;0;0;0;6;44;0;0;33;67;28;83;0;0;0;0;0;0;0;0;6;0;0;0;0;0;100;100;100;100;100;100;83;83;83;0;0;0;0
Sanguibacter suarezii;GP;0;0;19;75;19;0;62;12;0;0;0;38;75;0;31;81;12;0;75;0;75;0;100;0;0;0;75;62;12;100;0;94;56;0;0;0;31;0;12;12;31;19;100;62;0;19;12;50;6;12;62;0;100;50;0;0;0;0;0;0;0;0;25;0;0;38;25;12;31;0;0;0;6;0;0;6;6;0;6;0;6;0;0;100;75;75;62;69;100;0;25;0;12;0;0;0
Staphylococcus arlettae;GP;0;0;0;100;26;0;84;40;42;82;22;0;70;0;22;16;100;0;100;0;62;100;100;42;76;38;100;100;100;100;84;74;54;78;88;54;40;0;98;100;82;0;94;0;0;62;66;100;0;100;100;0;68;60;10;0;54;0;0;60;0;48;94;0;0;92;6;4;98;0;0;0;58;100;100;98;36;100;56;50;100;0;0;100;98;96;90;100;100;0;0;0;2;0;0;66
Staphylococcus aureus ss anaerobius;GP;0;0;0;100;0;0;0;0;0;96;0;0;0;0;0;0;96;0;0;0;36;0;100;0;0;0;0;0;0;100;0;0;0;0;100;0;100;0;0;68;0;0;0;0;0;0;0;86;0;0;86;0;0;0;96;0;0;0;0;57;0;0;100;0;0;100;0;0;100;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;93;100;100;100;96;71;96;96;36;0;7;0
Staphylococcus aureus ss aureus;GP;0;0;0;100;55;0;57;30;29;99;11;10;2;2;0;7;100;0;1;0;17;1;100;0;36;17;100;90;76;100;10;2;0;0;89;27;48;0;41;100;16;0;71;0;0;22;0;100;0;100;97;0;1;18;100;0;0;0;32;95;0;20;100;0;3;98;24;2;99;2;5;5;1;27;56;91;5;96;93;1;63;0;11;100;99;99;99;100;100;93;98;100;96;67;94;95
Staphylococcus auricularis;GP;0;0;0;15;0;0;0;0;0;24;0;0;0;0;0;0;100;0;6;0;0;32;100;0;0;0;100;26;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;100;0;100;94;0;0;0;50;0;0;0;0;6;0;0;47;0;0;94;0;0;94;0;0;0;0;24;47;56;0;6;0;0;24;0;0;100;62;100;53;94;50;0;0;0;0;0;0;0
Staphylococcus capitis;GP;0;0;0;97;7;0;22;0;0;82;17;0;0;0;0;25;98;0;0;0;73;0;100;0;0;0;8;0;23;100;0;3;0;0;98;0;8;0;23;98;0;5;73;0;0;10;0;27;5;3;100;0;37;47;8;0;0;0;5;88;0;33;77;0;68;100;72;8;100;0;78;0;47;68;85;88;38;100;65;0;100;0;0;100;62;95;17;95;78;0;0;0;2;0;0;0
Staphylococcus caprae;GP;0;0;0;100;0;0;22;0;0;100;60;0;0;0;0;12;100;0;0;0;85;0;100;0;5;8;20;0;30;100;0;5;0;0;100;5;0;0;10;100;0;0;90;0;0;22;0;100;0;100;100;0;10;8;0;0;0;0;5;75;0;5;5;0;60;92;78;2;85;0;78;0;12;85;100;70;0;100;8;0;100;0;10;100;92;100;35;100;100;2;85;95;8;0;5;18
Staphylococcus carnosus;GP;0;0;0;95;0;0;2;0;0;90;0;0;0;19;0;5;100;0;43;0;36;33;100;0;0;0;0;0;90;100;0;0;0;0;100;0;0;0;0;100;0;0;53;0;0;24;0;0;0;36;100;0;9;12;2;0;38;0;0;45;0;40;90;0;0;100;0;0;91;0;0;0;0;45;97;40;0;55;0;45;60;0;0;100;95;97;50;100;100;12;90;91;0;0;0;0
